id,nom,top,maitre,nat,nat1,title,sexe,mort,auction,auction1,start_year,img,total_amount,media1,surface,date,datesiecle,date20
300,MUNCH Edvard,1,0,Norway,Europe,Le cri / the scream,1,1,soth,New-York,2012,271.jpg,107000000,A,D,1895,19th,none
1,PICASSO Pablo,2,4,Spain,Europe,Nu au plateau de sculpteur,1,1,chris,New-York,2010,1.jpg,95000000,A,D,1932,20th,1930
2,GIACOMETTI Alberto,3,2,Switzerland,Europe,L'Homme qui marche I,1,1,soth,Londres,2010,2.jpg,92521600,B,D,1960,20th,1960
3,ROTHKO Mark,4,0,USA,Etats-Unis,"Orange, Red, Yellow ",1,1,chris,New-York,2012,272.jpg,77500000,A,D,1961,20th,1960
4,BACON Francis,5,1,Great Britain,Europe,Triptych,1,1,soth,New-York,2008,3.jpg,77000000,A,D,1976,20th,1970
5,MONET Claude,6,3,France,Europe,Le bassin aux nymphéas,1,1,chris,Londres,2008,4.jpg,71671400,A,D,1919,20th,1910
6,ROTHKO Mark,7,0,USA,Etats-Unis,No. 1 (Royal Red And Blue),1,1,soth,New-York,2012,273.jpg,67000000,A,D,1954,20th,1950
7,MODIGLIANI Amedeo,8,0,Italy,Europe,Nu assis sur un divan - la belle romaine,1,1,soth,New-York,2010,5.jpg,61500000,A,D,1917,20th,1910
8,QI Baishi,9,0,China,Chine,Eagle Standing on Pine Tree; Four-Character,1,1,autres,Pékin,2011,6.jpg,57202000,A,D,1946,20th,1940
9,WARHOL Andy,10,6,USA,Etats-Unis,Men in her life,1,1,autres,New-York,2010,7.jpg,56500000,C,D,1962,20th,1960
10,STILL Clyfford,0,0,USA,Etats-Unis,1949-A-No . 1,1,1,soth,New-York,2011,8.jpg,55000000,A,D,1949,20th,1940
11,WANG Meng,0,0,China,Chine,Zhi Chuan moving to Mountain,1,1,autres,Pékin,2011,9.jpg,54040000,D,D,14e,14th,none
12,MALEVICH Kasimir Sevrinovitch,0,0,Ukraine,Europe,Suprematisch Composition,1,1,soth,New-York,2008,10.jpg,53500000,A,D,1916,20th,1910
13,GIACOMETTI Alberto,0,2,Switzerland,Europe,Grande tête mince,1,1,chris,New-York,2010,11.jpg,47500000,B,D,1954,20th,1950
14,MODIGLIANI Amedeo,0,0,Italy,Europe,Tête,1,1,chris,Paris,2010,12.jpg,46650450,B,D,1910-1912,20th,1910
15,BACON Francis,0,1,Great Britain,Europe,Untitled,1,1,chris,Londres,2008,13.jpg,46048250,A,D,1974-1977,20th,1970
16,PICASSO Pablo,0,4,Spain,Europe,Portrait d'Angel Fernandez de Soto,1,1,chris,Londres,2010,14.jpg,45814900,A,D,1903,20th,1900
17,ROTHKO Mark,0,0,USA,Etats-Unis,No.15,1,1,chris,New-York,2008,15.jpg,45000000,A,D,1952,20th,1950
18,WEN ZONG EMPEROR & FANG D.,0,0,China,Chine,Landscape,1,1,autres,Pékin,2010,16.jpg,44850000,D,D,14e,14th,none
19,MATISSE Henri,0,0,France,Europe,Nu de dos  4 état - Back IV,1,1,chris,New-York,2010,17.jpg,43500000,B,D,1930,20th,1930
20,RAPHAEL,0,0,Italy,Europe,Head of a Young Apostle,1,1,soth,Londres,2012,274.jpg,42675600,D,D,1519-1520,16th,none
21,RAPHAEL,0,0,Italy,Europe,Head of a muse,1,1,chris,Londres,2009,18.jpg,42354000,D,D,16e,16th,none
22,MATISSE Henri,0,0,France,Europe,Les coucous  tapis bleu et rose,1,1,chris,Paris,2009,19.jpg,40953600,A,D,1911,20th,1910
23,LI Keran,0,0,China,Chine,Mountains in red ,1,1,autres,Pékin,2012,275.jpg,40396040,D,D,1964,20th,1960
24,TURNER J.M. William,0,0,Great Britain,Europe,Modern Rome - Campo Vaccino,1,1,soth,Londres,2010,20.jpg,40211100,A,D,1839,19th,none
25,BACON Francis,0,1,Great Britain,Europe,Figure Writing Re!ected In Mirror ,1,1,soth,New-York,2012,276.jpg,40000000,A,D,1976,20th,1970
26,LICHTENSTEIN Roy,0,0,USA,Etats-Unis,Sleeping Girl ,1,1,soth,New-York,2012,277.jpg,40000000,A,D,1964,20th,1960
27,WARHOL Andy,0,6,USA,Etats-Unis,200 One Dollar Bills,1,1,soth,New-York,2009,21.jpg,39000000,C,D,1962,20th,1960
28,MONET Claude,0,3,France,Europe,Nymphéas ,1,1,chris,New-York,2012,278.jpg,39000000,A,D,1905,20th,1900
29,WARHOL Andy,0,6,USA,Etats-Unis,Statue of Liberty ,1,1,chris,New-York,2012,279.jpg,39000000,C,D,1962,20th,1960
30,LICHTENSTEIN Roy,0,0,USA,Etats-Unis,I Can See the Whole Room!...and,1,1,chris,New-York,2011,22.jpg,38500000,A,D,1961,20th,1960
31,KLIMT Gustav,0,0,Austria,Europe,Kirche in Cassone,1,1,soth,Londres,2010,23.jpg,38284800,A,D,1913,20th,1910
32,GUARDI Francesco,0,0,Italy,Europe,Venice  a View of the Rialto Bridge  Looking,1,1,soth,Londres,2011,24.jpg,38256120,A,D,18e,18th,none
33,LICHTENSTEIN Roy,0,0,USA,Etats-Unis,Ohhh...Alright...,1,1,chris,New-York,2010,25.jpg,38000000,A,D,1964,20th,1960
34,MONET Claude,0,3,France,Europe,Le Pont du chemin de fer à Argenteuil,1,1,chris,New-York,2008,26.jpg,37000000,A,D,1873,19th,none
35,PICASSO Pablo,0,4,Spain,Europe,Nature Morte Aux Tulipes ,1,1,soth,New-York,2012,280.jpg,37000000,A,D,1932,20th,1930
36,XU Beihong,0,0,China,Chine,Cultivation on the peaceful land,1,1,autres,Pékin,2011,27.jpg,36679200,D,D,1951,20th,1950
37,PICASSO Pablo,0,4,Spain,Europe,La lecture,1,1,soth,Londres,2011,28.jpg,36274500,A,D,1932,20th,1930
38,KLIMT Gustav,0,0,Austria,Europe,Litzlberg Am Attersee,1,1,soth,New-York,2011,29.jpg,36000000,A,D,1914-1915,20th,1910
39,KLINE Franz,0,0,USA,Etats-Unis,Untitled ,1,1,chris,New-York,2012,281.jpg,36000000,A,D,1957,20th,1950
40,POLLOCK Jackson,0,0,USA,Etats-Unis,Number 4 ,1,1,soth,New-York,2012,282.jpg,36000000,A,D,1951,20th,1950
41,SCHIELE Egon,0,0,Austria,Europe,Häuser mit bunter wäsche - Vordatdt II,1,1,soth,Londres,2011,30.jpg,35681800,A,D,1914,20th,1910
42,BACON Francis,0,1,Great Britain,Europe,Study of Nude with Figure in a Mirror,1,1,soth,Londres,2008,31.jpg,35329440,A,D,1969,20th,1960
43,LÉGER Fernand,0,0,France,Europe,La Femme en Bleu,1,1,soth,New-York,2008,32.jpg,35000000,A,D,1912-1913,20th,1910
44,WARHOL Andy,0,6,USA,Etats-Unis,Self-Portrait,1,1,chris,New-York,2011,33.jpg,34250000,C,D,1963-1964,20th,1960
45,MUNCH Edvard,0,0,Norway,Europe,Vampire,1,1,soth,New-York,2008,34.jpg,34000000,A,D,1894,19th,none
46,BRANCUSI Constantin,0,0,Romania,Europe,Madame L.R.,1,1,chris,Paris,2009,35.jpg,33274800,B,D,1914 1917,20th,1910
47,DEGAS Edgar,0,0,France,Europe,Danseuse au repos,1,1,soth,New-York,2008,36.jpg,33000000,D,D,1879,19th,none
48,WARHOL Andy,0,6,USA,Etats-Unis,Double Elvis,1,1,soth,New-York,2012,283.jpg,33000000,C,D,1963,20th,1960
49,BACON Francis,0,1,Great Britain,Europe,Three studies for portrait of Lucian Freud,1,1,soth,Londres,2011,37.jpg,32957850,A,D,1964,20th,1960
50,MIRO Joan,0,0,Spain,Europe,Peinture (Etoile Bleue) ,1,1,soth,Londres,2012,284.jpg,32938500,A,D,1927,20th,1920
51,KLEIN Yves,0,0,France,Europe,Le Rose du bleu (RE 22) ,1,1,chris,Londres,2012,285.jpg,32699100,A,D,1960,20th,1960
52,KLEIN Yves,0,0,France,Europe,Fire Color 1,1,1,chris,New-York,2012,286.jpg,32500000,A,D,1962,20th,1960
53,STUBBS George,0,0,Great Britain,Europe,Gimcrack on Newmarket Heath  with a trainer,1,1,chris,Londres,2011,38.jpg,32158000,A,D,1765,18th,none
54,ALMA-TADEMA Lawrence,0,0,Netherlands - Belgium,Europe,The Finding of Moses,1,1,soth,New-York,2010,39.jpg,32000000,A,D,1904,20th,1900
55,FU Baoshi,0,0,China,Chine,Landscapes,1,1,autres,autres,2011,40.jpg,31520000,D,D,1964/65,20th,1960
56,WARHOL Andy,0,6,USA,Etats-Unis,Coca-Cola [4] [Large Coca-Cola],1,1,soth,New-York,2010,41.jpg,31500000,A,D,1962,20th,1960
57,CONSTABLE John,0,0,Great Britain,Europe,The Lock,1,1,chris,Londres,2012,287.jpg,31356000,A,D,1824,19th,none
58,BACON Francis,0,1,Great Britain,Europe,Studies for Self-Portrait,1,1,chris,Londres,2008,42.jpg,30672180,A,D,1975,20th,1970
59,RICHTER Gerhard,0,5,Great Britain,Europe,Abstraktes Bild,1,2,soth,Londres,2012,288.jpg,30445600,A,D,1932,20th,1930
60,FREUD Lucian,0,0,Great Britain,Europe,Benefits Supervisor Sleeping,1,1,chris,New-York,2008,43.jpg,30000000,A,D,1995,20th,1990
61,ROTHKO Mark,0,0,USA,Etats-Unis,Untitled No. 17,1,1,chris,New-York,2011,44.jpg,30000000,A,D,1961,20th,1960
62,KOONS Jeff,0,0,USA,Etats-Unis,Tulips ,1,2,chris,New-York,2012,289.jpg,30000000,B,D,1995,20th,1990
63,BACON Francis,0,1,Great Britain,Europe,Portrait of Henrietta Moraes ,1,1,chris,Londres,2012,290.jpg,29999100,A,D,1963,20th,1960
64,BACON Francis,0,1,Great Britain,Europe,Study for Self-Portrait ,1,1,chris,Londres,2012,291.jpg,29896320,A,D,1964,20th,1960
65,MANET Édouard,0,0,France,Europe,Portrait de Manet par lui-même  en buste,1,1,soth,Londres,2010,45.jpg,29674000,A,D,1878 1879,19th,none
66,REMBRANDT VAN RIJN,0,0,Netherlands - Belgium,Europe,Portrait of a man with arms akimbo,1,1,chris,Londres,2009,46.jpg,29322000,A,D,1658,17th,none
67,WARHOL Andy,0,6,USA,Etats-Unis,Double Marlon,1,1,chris,New-York,2008,47.jpg,29000000,C,D,1966,20th,1960
68,WARHOL Andy,0,6,USA,Etats-Unis,Self Portrait,1,1,soth,New-York,2010,48.jpg,29000000,C,D,1986,20th,1980
69,ROTHKO Mark,0,0,USA,Etats-Unis,Untitled,1,1,soth,New-York,2010,49.jpg,28000000,A,D,1961,20th,1960
70,STILL Clyfford,0,0,USA,Etats-Unis,1947-Y-No. 2,1,1,soth,New-York,2011,50.jpg,28000000,A,D,1947,20th,1940
71,MUNCH Edvard,0,0,Norway,Europe,Girls on a Bridge,1,1,soth,New-York,2008,51.jpg,27500000,A,D,1902,20th,1900
72,MOORE Henry,0,0,Great Britain,Europe,Reclining Figure : Festival ,1,1,chris,Londres,2012,292.jpg,26841300,B,D,1951,20th,1950
74,QI Baishi,0,0,China,Chine,Landscape,1,1,autres,Pékin,2011,52.jpg,26786500,D,D,1931,20th,1930
73,BACON Francis,0,1,Great Britain,Europe,Untitled (Pope),1,1,soth,New-York,2012,293.jpg,26500000,A,D,1954,20th,1950
75,SEVERINI Gino,0,0,Italy,Europe,Danseuse,1,1,soth,Londres,2008,53.jpg,26483028,A,D,1915,20th,1910
76,ALMA-TADEMA Lawrence,0,0,Netherlands - Belgium,Europe,The Meeting of Antony and Cleopatra: 41 Bc,1,1,soth,New-York,2011,54.jpg,26000000,A,D,19e,19th,none
77,PICASSO Pablo,0,4,Spain,Europe,Femme assise dans un fauteuil ,1,1,soth,New-York,2012,294.jpg,26000000,A,D,1941,20th,1940
78,PICASSO Pablo,0,4,Spain,Europe,Femme assise  robe bleue,1,1,chris,Londres,2011,55.jpg,25872000,A,D,1939,20th,1930
79,BACON Francis,0,1,Great Britain,Europe,Study for a portrait,1,1,chris,Londres,2011,56.jpg,25536000,A,D,1953,20th,1950
80,GRIS Juan,0,0,Spain,Europe,Violon et guitare,1,1,chris,New-York,2010,57.jpg,25500000,A,D,1913,20th,1910
81,JOHNS Jasper,0,0,USA,Etats-Unis,Flag,1,1,chris,New-York,2010,58.jpg,25500000,A,D,1960-1966,20th,1960
82,MATISSE Henri,0,0,France,Europe,Bouquet de fleurs pour le quatorze juillet,1,1,soth,New-York,2010,59.jpg,25500000,A,D,1919,20th,1910
83,BACON Francis,0,1,Great Britain,Europe,Three Studies for Self-Portrait,1,1,chris,New-York,2008,60.jpg,25000000,A,D,1976,20th,1970
84,LICHTENSTEIN Roy,0,0,USA,Etats-Unis,Nude with Red Shirt ,1,1,chris,New-York,2012,295.jpg,25000000,A,D,1995,20th,1990
85,KLIMT Gustav,0,0,Austria,Europe,Frauenbildnis - Portrait of Ria Munk III,1,1,chris,Londres,2010,61.jpg,24754820,A,D,1917-18,20th,1910
86,MONDRIAN Piet,0,0,Netherlands - Belgium,Europe,Composition bleu  rouge  jaune et noir,1,1,chris,Paris,2009,62.jpg,24572160,A,D,1922,20th,1920
87,BACON Francis,0,1,Great Britain,Europe,Head of George Dyer,1,1,soth,Londres,2008,63.jpg,24527730,A,D,1966,20th,1960
88,WARHOL Andy,0,6,USA,Etats-Unis,Self-Portrait,1,1,chris,New-York,2011,65.jpg,24500000,C,D,1986,20th,1980
90,GIACOMETTI Alberto,0,2,Switzerland,Europe,Grande femme debout II,1,1,chris,New-York,2008,64.jpg,24500000,B,D,1959-1960,20th,1950
89,WARHOL Andy,0,6,USA,Etats-Unis,Liz #5 - Early Colored Liz,1,1,autres,New-York,2011,66.jpg,24000000,C,D,1963,20th,1960
91,MIRO Joan,0,0,Spain,Europe,Painting Poem Le corps de ma brune puisque [...]),1,1,chris,Londres,2012,296.jpg,23683500,A,D,1925,20th,1920
92,DEGAS Edgar,0,0,France,Europe,Danseuses à la barre,1,1,chris,Londres,2008,67.jpg,23563200,A,D,1880,19th,none
93,BASQUIAT Jean-Michel,0,0,USA,Etats-Unis,Untitled ,1,1,chris,New-York,2012,297.jpg,23500000,A,D,1981,20th,1980
94,TANG Yin,0,0,China,Chine,Landscape,1,1,autres,Pékin,2011,68.jpg,23145000,D,D,16e,16th,none
95,XU Beihong,0,0,China,Chine,landscape and figure,1,1,autres,autres,2010,69.jpg,23026500,D,D,1938,20th,1930
96,GIACOMETTI Alberto,0,2,Switzerland,Europe,La Main,1,1,chris,New-York,2010,70.jpg,23000000,B,D,1947,20th,1940
98,KOONS Jeff,0,0,USA,Etats-Unis,Balloon Flower - Magenta,1,2,chris,Londres,2008,71.jpg,22904550,B,D,1995-2000,20th,1990
97,REN Yi,0,0,China,Chine,Huafeng People’s Wishes to Emperor Yao,1,1,autres,autres,2011,72.jpg,22533000,D,D,1882,19th,none
99,ZHU Da,0,0,China,Chine,Landscape,1,1,autres,Pékin,2010,73.jpg,22500000,D,D,17e,17th,none
100,BACON Francis,0,1,Great Britain,Europe,Studies for Self-Portrait,1,1,chris,New-York,2011,74.jpg,22500000,A,D,1974,20th,1970
101,WU Bin,0,0,China,Chine,Eighthteen arhats,1,1,autres,Pékin,2009,75.jpg,22121500,D,D,1615,17th,none
102,MONET Claude,0,3,France,Europe,Le bassin aux nympheas,1,1,soth,New-York,2010,76.jpg,22000000,A,D,1917-19,20th,1910
103,ZHANG Daqian,0,0,China,Chine,Lotus and Mandarin Ducks,1,1,soth,Hong-Kong,2011,77.jpg,21845000,D,D,1947,20th,1940
104,WATTEAU Jean Antoine,0,0,France,Europe,La surprise : A Couple embracing while a Figure dressed as Mezzetin Tune,1,1,chris,Londres,2008,78.jpg,21701900,A,D,1718,18th,none
105,MARC Franz,0,0,Germany,Europe,Weidende Pferde III,1,1,soth,Londres,2008,79.jpg,21663400,A,D,1910,20th,1910
106,DERAIN André,0,0,France,Europe,Arbres à Collioure,1,1,soth,Londres,2010,80.jpg,21513650,A,D,1905,20th,1900
107,WARHOL Andy,0,6,USA,Etats-Unis,Big Campbell's Soup Can with Can Opener,1,1,chris,New-York,2010,81.jpg,21250000,A,D,1962,20th,1960
108,WARHOL Andy,0,6,USA,Etats-Unis,Marlon ,1,1,chris,New-York,2012,298.jpg,21100000,C,D,1966,20th,1960
109,KLEIN Yves,0,0,France,Europe,MG 9,1,1,soth,New-York,2008,82.jpg,21000000,A,D,1962,20th,1960
110,FREUD Lucian,0,0,Great Britain,Europe,Naked Portrait with Reflection,1,1,chris,Londres,2008,83.jpg,20912850,A,D,1980,20th,1980
111,XU Beihong,0,0,China,Chine,Figure,1,1,autres,Pékin,2011,84.jpg,20596270,D,D,none,none,none
112,PICASSO Pablo,0,4,Spain,Europe,L'aubade,1,1,soth,New-York,2011,85.jpg,20500000,A,D,1967,20th,1960
113,KANDINSKY Wassily,0,0,Russia,Russie,Studie für Improvisation 8 ,1,1,chris,New-York,2012,299.jpg,20500000,A,D,1909,20th,1900
114,POLLOCK Jackson,0,0,USA,Etats-Unis,Number 28 ,1,1,chris,New-York,2012,300.jpg,20500000,A,D,1951,20th,1950
115,SHEN Zhou,0,0,China,Chine,Landscape,1,1,autres,Pékin,2010,86.jpg,20400000,D,D,16e-17e,17th,none
116,WARHOL Andy,0,6,USA,Etats-Unis,Self-portraits,1,1,soth,Londres,2008,87.jpg,20244960,C,D,1986,20th,1980
117,MATISSE Henri,0,0,France,Europe,Portrait au manteau bleu,1,1,chris,New-York,2008,88.jpg,20000000,A,D,1935,20th,1930
118,MONET Claude,0,3,France,Europe,Les Peupliers,1,1,chris,New-York,2011,90.jpg,20000000,A,D,1891,19th,none
119,ROTHKO Mark,0,0,USA,Etats-Unis,Untitled,1,1,soth,New-York,2010,89.jpg,20000000,A,D,1955,20th,1950
120,VLAMINCK de Maurice,0,0,France,Europe,Paysage de banlieue,1,1,chris,New-York,2011,91.jpg,20000000,A,D,1905,20th,1900
121,NEWMAN Barnett,0,0,USA,Etats-Unis,Onthnt V ,1,1,chris,New-York,2012,301.jpg,20000000,A,D,1952,20th,1950
124,PICASSO Pablo,0,4,Spain,Europe,Jeune fille endormie,1,1,chris,Londres,2011,92.jpg,19404000,A,D,1935,20th,1930
122,RICHTER Gerhard,0,5,Germany,Europe,Abstraktes Bild (798-3) ,1,2,chris,New-York,2012,302.jpg,19400000,A,D,1993,20th,1990
123,DALI Salvador,0,0,Spain,Europe,Portrait de Paul Eluard,1,1,soth,Londres,2011,93.jpg,19292400,A,D,1929,20th,1920
125,KLEIN Yves,0,0,France,Europe,Archisponge -RE 11,1,1,soth,New-York,2008,94.jpg,19000000,A,D,1960,20th,1960
126,PICASSO Pablo,0,4,Spain,Europe,Femmes lisant - deux personnages,1,1,soth,New-York,2011,95.jpg,19000000,A,D,1934,20th,1930
127,PICASSO Pablo,0,4,Spain,Europe,Les femmes d'Alger  version L,1,1,chris,New-York,2011,96.jpg,19000000,A,D,1955,20th,1950
128,ROTHKO Mark,0,0,USA,Etats-Unis,"Black Stripe (Orange, Gold and Black) ",1,1,chris,New-York,2012,303.jpg,19000000,A,D,1957,20th,1950
129,GIACOMETTI Alberto,0,2,Switzerland,Europe,Le Chat,1,1,chris,New-York,2010,98.jpg,18500000,B,D,1951,20th,1950
130,GRIS Juan,0,0,Spain,Europe,Livre  pipe et verres,1,1,chris,New-York,2008,97.jpg,18500000,A,D,1915,20th,1910
131,MATISSE Henri,0,0,France,Europe,Danseuse dans le fauteuil  sol en damier,1,1,soth,New-York,2010,99.jpg,18500000,A,D,1942,20th,1940
132,RICHTER Gerhard,0,5,Germany,Europe,Abstraktes Bild,1,2,soth,New-York,2011,100.jpg,18500000,A,D,1997,20th,1990
133,SHI Tao,0,0,China,Chine,Landscape,1,1,autres,Pékin,2011,101.jpg,18355700,D,D,17e,17th,none
134,FONTANA Lucio,0,0,Argentina,Argentine,Concetto Spaziale  la fine di Dio,1,1,soth,Londres,2008,102.jpg,18260160,A,D,1963,20th,1960
135,WARHOL Andy,0,6,USA,Etats-Unis,Sixteen Jackies,1,1,soth,New-York,2011,103.jpg,18000000,C,D,1964,20th,1960
136,BASQUIAT Jean-Michel,0,0,USA,Etats-Unis,Untitled ,1,1,chris,Londres,2012,304.jpg,17906650,A,D,1981,20th,1980
137,WANG Meng,0,0,China,Chine,Landscape,1,1,autres,Pékin,2010,104.jpg,17885200,D,D,14e,14th,none
138,RICHTER Gerhard,0,5,Germany,Europe,Struktur (2),1,2,chris,Londres,2012,305.jpg,17595230,A,D,1989,20th,1980
139,BACON Francis,0,1,Great Britain,Europe,Three Studies for a Self-Portrait,1,1,soth,New-York,2011,105.jpg,17500000,A,D,1967,20th,1960
140,STILL Clyfford,0,0,USA,Etats-Unis,Ph-1033,1,1,soth,New-York,2011,106.jpg,17500000,A,D,1976,20th,1970
141,KOONING de Willem,0,0,USA,Etats-Unis,Abstraction ,1,1,soth,New-York,2012,306.jpg,17500000,A,D,1949,20th,1940
142,WANG Hui,0,0,China,Chine,Landscape inspired by tang poems,1,1,autres,Pékin,2011,107.jpg,17435000,A,D,1710,18th,none
143,GIACOMETTI Alberto,0,2,Switzerland,Europe,L’homme qui chavire,1,1,soth,New-York,2009,108.jpg,17200000,B,D,1950,20th,1950
144,RICHTER Gerhard,0,5,Germany,Europe,Seestüeck (Leicht bewöelkt) ,1,2,chris,New-York,2012,307.jpg,17200000,A,D,1969,20th,1960
145,LI Keran,0,0,China,Chine,Shaoshan-revolutionary sacred place of chairman [...],1,1,autres,Pékin,2012,308.jpg,17108911,D,D,1974,20th,1970
146,PICASSO Pablo,0,4,Spain,Europe,La grue,1,1,soth,New-York,2008,109.jpg,17100000,B,D,1951,20th,1950
147,QIAN Weicheng,0,0,China,Chine,Yandang Mountain,1,1,autres,Pékin,2010,110.jpg,17005600,D,D,18e,18th,none
148,MODIGLIANI Amedeo,0,0,Italy,Europe,Jeanne hebuterne au chapeau,1,1,soth,New-York,2010,111.jpg,17000000,A,D,1917,20th,1910
149,CÉZANNE Paul,0,0,USA,Etats-Unis,Joueur de cartes ,1,1,chris,New-York,2012,309.jpg,17000000,A,D,1892,19th,none
150,MATISSE Henri,0,0,France,Europe,Les pivoines ,1,1,chris,New-York,2012,310.jpg,17000000,A,D,1907,20th,1900
151,RODIN Auguste,0,0,France,Europe,Eve  grand modèle-version sans rocher,1,1,chris,New-York,2008,112.jpg,16900000,B,D,1881,19th,none
152,DEGAS Edgar,0,0,France,Europe,Petite danseuse de quatorze ans,1,1,soth,Londres,2009,113.jpg,16809100,B,D,1879-1881,19th,none
153,CÉZANNE Paul,0,0,France,Europe,Pichet et fruits sur une table,1,1,soth,Londres,2010,114.jpg,16749600,A,D,1893-1894,19th,none
154,GIACOMETTI Alberto,0,2,Switzerland,Europe,Trois hommes qui marchent I,1,1,soth,Londres,2008,115.jpg,16616028,B,D,1948,20th,1940
155,WANG Shimin,0,0,China,Chine,landscapes,1,1,autres,Pékin,2011,116.jpg,16569000,D,D,1647,17th,none
158,JAWLENSKY von Alexej,0,0,Russia,Russie,Schokko,1,1,soth,Londres,2008,117.jpg,16542960,A,D,1910,20th,1910
157,ROTHKO Mark,0,0,USA,Etats-Unis,White Cloud,1,1,chris,New-York,2011,118.jpg,16500000,A,D,1956,20th,1950
